,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EscrowDepositDisbursementsRelatedToPropertyAcquisition1,ExplorationExpense,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentLossesRelatedToRealEstatePartnerships,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,RevenueFromRelatedParties,Revenues,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,SponsorFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxAssetsNet,EarningsPerShareBasic,EffectiveIncomeTaxRateContinuingOperations,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountUnitsSoldInPrivatePlacement,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,TreasuryStockRetiredCostMethodAmount,TreasuryStockSharesRetired,CashEquivalentsAtCarryingValue,ProceedsFromIssuanceOfMediumTermNotes,DebtInstrumentDecreaseForgiveness,StockIssuedDuringPeriodValueConversionOfUnits,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,y
38,24761,,3317739.0,,2118.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.0,89393.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3437330.0,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,3291,,3222739.0,,,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,141029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89393.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,3291,,3317739.0,,11092.0,,,,,,,,,,,,,141029000.0,141029000.0,,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11092.0,89393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3445293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,3291,,3361585.0,,11114.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11114.0,89393.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3467047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,3291,,3361585.0,,11114.0,,,,,,,,,,0.001,,290000000.0,182735.0,182735.0,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11114.0,,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3467047.0,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
43,5361,,,,,,,,,,,,,,,,,182735.0,182735.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,5361,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
45,10969,,3361585.0,,11205.0,,,,,,,,,,,,,,,27000.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11205.0,168160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3488111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,17327,,3361585.0,,11881.0,,,,,,,,,,0.001,,290000000.0,182735.0,182735.0,27000.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11881.0,168159.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3501080.0,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
47,17326,,3136383.0,,20252.0,,,,,,,,,,0.001,,290000000.0,241377179.0,241377179.0,,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252.0,168159.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3531146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,17326,,3136382.0,,19338.0,,,,,,,,,,0.001,,290000000.0,241377179.0,241377179.0,,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19338.0,168159.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3553581.0,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,17326,,,,,,,,,,,,,,,,,241377178.0,241377178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3553580.0,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
50,17326,,3136382.0,,19338.0,,,,,,,,,,0.001,,290000000.0,241377178.0,241377178.0,,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19338.0,,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3553580.0,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,18928,,3136382.0,,19338.0,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19338.0,223694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3553580.0,,,,,,,,-51562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,14172,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46562.0,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
53,17160,,3136382.0,,20122.0,,,,,,,,,,0.001,,290000000.0,241377178.0,241377178.0,27000.0,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20122.0,261043.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3587427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,18681,,3136382.0,,24844.0,,,,,,,,,,0.001,,290000000.0,241377179.0,241377179.0,27000.0,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24844.0,261043.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,3587429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,18681,,3136382.0,,25600.0,,,,,,,,,,0.001,,290000000.0,241377179.0,241377179.0,,241377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25600.0,261043.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3603609.0,,,,,,,,-59525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,18681,,3181117.0,,8757.0,,,,,,,,,,0.001,,290000000.0,241815632.0,241815632.0,,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8757.0,261043.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3623026.0,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
57,18681,,3181117.0,,8757.0,,,,,,,,,,,,,241815632.0,241815632.0,,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3702218.0,,,,,,,,-78279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,15904,,3181117.0,,8757.0,,,,,,,,,,,,,241815632.0,241815632.0,27000.0,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8757.0,311342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3702218.0,,,,,,,,-78279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
59,16644,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3702218.0,,,,,,,,-78279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,19093,,3181117.0,,8917.0,,,,,,,,,,0.001,,290000000.0,241815632.0,241815632.0,27000.0,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8917.0,347260.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
61,17436,,3181117.0,,11984.0,,,,,,,,,,0.001,,290000000.0,241815632.0,241815632.0,27000.0,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11984.0,347260.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3721136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,17436,,3181117.0,,10161.0,,,,,,,,,,0.001,,290000000.0,253664598.0,253664598.0,,253664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10161.0,357843.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3749291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,26971,,3181117.0,,9025.0,,,,,,,,,,0.001,,290000000.0,241815632.0,241815632.0,27000.0,241815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9025.0,,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3778255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
